# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -7.111249e+00    -1.070316e+01
1.007705e+02    -7.120459e+00    -1.077528e+01
1.015469e+02    -7.129824e+00    -1.084846e+01
1.023293e+02    -7.139343e+00    -1.092269e+01
1.031177e+02    -7.149016e+00    -1.099796e+01
1.039122e+02    -7.158842e+00    -1.107427e+01
1.047129e+02    -7.168819e+00    -1.115160e+01
1.055196e+02    -7.178947e+00    -1.122994e+01
1.063327e+02    -7.189225e+00    -1.130929e+01
1.071519e+02    -7.199653e+00    -1.138962e+01
1.079775e+02    -7.210233e+00    -1.147094e+01
1.088095e+02    -7.220969e+00    -1.155322e+01
1.096478e+02    -7.231865e+00    -1.163644e+01
1.104926e+02    -7.242925e+00    -1.172058e+01
1.113440e+02    -7.254155e+00    -1.180561e+01
1.122018e+02    -7.265558e+00    -1.189149e+01
1.130663e+02    -7.277138e+00    -1.197815e+01
1.139375e+02    -7.288896e+00    -1.206555e+01
1.148154e+02    -7.300831e+00    -1.215362e+01
1.157000e+02    -7.312943e+00    -1.224229e+01
1.165914e+02    -7.325227e+00    -1.233147e+01
1.174898e+02    -7.337680e+00    -1.242109e+01
1.183950e+02    -7.350299e+00    -1.251108e+01
1.193072e+02    -7.363084e+00    -1.260134e+01
1.202264e+02    -7.376034e+00    -1.269179e+01
1.211528e+02    -7.389151e+00    -1.278232e+01
1.220862e+02    -7.402441e+00    -1.287283e+01
1.230269e+02    -7.415908e+00    -1.296318e+01
1.239748e+02    -7.429557e+00    -1.305325e+01
1.249300e+02    -7.443394e+00    -1.314286e+01
1.258925e+02    -7.457419e+00    -1.323183e+01
1.268625e+02    -7.471634e+00    -1.331999e+01
1.278400e+02    -7.486035e+00    -1.340712e+01
1.288250e+02    -7.500615e+00    -1.349302e+01
1.298175e+02    -7.515371e+00    -1.357749e+01
1.308177e+02    -7.530295e+00    -1.366030e+01
1.318257e+02    -7.545383e+00    -1.374125e+01
1.328414e+02    -7.560636e+00    -1.382010e+01
1.338649e+02    -7.576054e+00    -1.389663e+01
1.348963e+02    -7.591642e+00    -1.397059e+01
1.359356e+02    -7.607407e+00    -1.404170e+01
1.369830e+02    -7.623353e+00    -1.410969e+01
1.380384e+02    -7.639485e+00    -1.417425e+01
1.391020e+02    -7.655801e+00    -1.423510e+01
1.401737e+02    -7.672297e+00    -1.429194e+01
1.412538e+02    -7.688965e+00    -1.434448e+01
1.423421e+02    -7.705796e+00    -1.439248e+01
1.434388e+02    -7.722780e+00    -1.443569e+01
1.445440e+02    -7.739911e+00    -1.447391e+01
1.456577e+02    -7.757187e+00    -1.450693e+01
1.467799e+02    -7.774611e+00    -1.453456e+01
1.479108e+02    -7.792189e+00    -1.455661e+01
1.490505e+02    -7.809927e+00    -1.457290e+01
1.501989e+02    -7.827832e+00    -1.458326e+01
1.513561e+02    -7.845902e+00    -1.458757e+01
1.525223e+02    -7.864134e+00    -1.458573e+01
1.536975e+02    -7.882515e+00    -1.457771e+01
1.548817e+02    -7.901034e+00    -1.456352e+01
1.560750e+02    -7.919677e+00    -1.454323e+01
1.572775e+02    -7.938436e+00    -1.451694e+01
1.584893e+02    -7.957310e+00    -1.448476e+01
1.597104e+02    -7.976303e+00    -1.444683e+01
1.609410e+02    -7.995424e+00    -1.440328e+01
1.621810e+02    -8.014681e+00    -1.435426e+01
1.634306e+02    -8.034080e+00    -1.429996e+01
1.646898e+02    -8.053615e+00    -1.424061e+01
1.659587e+02    -8.073277e+00    -1.417647e+01
1.672374e+02    -8.093049e+00    -1.410786e+01
1.685259e+02    -8.112915e+00    -1.403512e+01
1.698244e+02    -8.132866e+00    -1.395857e+01
1.711328e+02    -8.152901e+00    -1.387855e+01
1.724514e+02    -8.173028e+00    -1.379535e+01
1.737801e+02    -8.193262e+00    -1.370927e+01
1.751190e+02    -8.213614e+00    -1.362058e+01
1.764683e+02    -8.234089e+00    -1.352958e+01
1.778279e+02    -8.254682e+00    -1.343660e+01
1.791981e+02    -8.275377e+00    -1.334199e+01
1.805788e+02    -8.296158e+00    -1.324610e+01
1.819701e+02    -8.317013e+00    -1.314926e+01
1.833721e+02    -8.337940e+00    -1.305177e+01
1.847850e+02    -8.358952e+00    -1.295389e+01
1.862087e+02    -8.380071e+00    -1.285584e+01
1.876434e+02    -8.401319e+00    -1.275784e+01
1.890892e+02    -8.422707e+00    -1.266014e+01
1.905461e+02    -8.444233e+00    -1.256299e+01
1.920142e+02    -8.465884e+00    -1.246667e+01
1.934936e+02    -8.487646e+00    -1.237144e+01
1.949845e+02    -8.509514e+00    -1.227755e+01
1.964868e+02    -8.531502e+00    -1.218516e+01
1.980007e+02    -8.553639e+00    -1.209443e+01
1.995262e+02    -8.575962e+00    -1.200549e+01
2.010635e+02    -8.598503e+00    -1.191850e+01
2.026127e+02    -8.621275e+00    -1.183365e+01
2.041738e+02    -8.644276e+00    -1.175114e+01
2.057469e+02    -8.667498e+00    -1.167118e+01
2.073322e+02    -8.690945e+00    -1.159392e+01
2.089296e+02    -8.714641e+00    -1.151949e+01
2.105394e+02    -8.738635e+00    -1.144796e+01
2.121615e+02    -8.762986e+00    -1.137940e+01
2.137962e+02    -8.787743e+00    -1.131393e+01
2.154435e+02    -8.812936e+00    -1.125170e+01
2.171034e+02    -8.838575e+00    -1.119286e+01
2.187762e+02    -8.864666e+00    -1.113756e+01
2.204618e+02    -8.891236e+00    -1.108588e+01
2.221604e+02    -8.918342e+00    -1.103784e+01
2.238721e+02    -8.946067e+00    -1.099346e+01
2.255970e+02    -8.974497e+00    -1.095277e+01
2.273352e+02    -9.003698e+00    -1.091584e+01
2.290868e+02    -9.033704e+00    -1.088279e+01
2.308518e+02    -9.064541e+00    -1.085367e+01
2.326305e+02    -9.096245e+00    -1.082849e+01
2.344229e+02    -9.128895e+00    -1.080716e+01
2.362291e+02    -9.162603e+00    -1.078958e+01
2.380492e+02    -9.197488e+00    -1.077566e+01
2.398833e+02    -9.233646e+00    -1.076535e+01
2.417315e+02    -9.271135e+00    -1.075858e+01
2.435940e+02    -9.309993e+00    -1.075524e+01
2.454709e+02    -9.350284e+00    -1.075509e+01
2.473622e+02    -9.392116e+00    -1.075780e+01
2.492681e+02    -9.435635e+00    -1.076300e+01
2.511886e+02    -9.480989e+00    -1.077033e+01
2.531240e+02    -9.528277e+00    -1.077945e+01
2.550743e+02    -9.577558e+00    -1.078994e+01
2.570396e+02    -9.628880e+00    -1.080125e+01
2.590200e+02    -9.682335e+00    -1.081266e+01
2.610157e+02    -9.738072e+00    -1.082339e+01
2.630268e+02    -9.796258e+00    -1.083265e+01
2.650534e+02    -9.857020e+00    -1.083969e+01
2.670956e+02    -9.920420e+00    -1.084368e+01
2.691535e+02    -9.986483e+00    -1.084366e+01
2.712273e+02    -1.005527e+01    -1.083854e+01
2.733170e+02    -1.012691e+01    -1.082719e+01
2.754229e+02    -1.020157e+01    -1.080859e+01
2.775450e+02    -1.027936e+01    -1.078184e+01
2.796834e+02    -1.036030e+01    -1.074607e+01
2.818383e+02    -1.044437e+01    -1.070037e+01
2.840098e+02    -1.053159e+01    -1.064383e+01
2.861980e+02    -1.062205e+01    -1.057576e+01
2.884032e+02    -1.071589e+01    -1.049575e+01
2.906252e+02    -1.081314e+01    -1.040364e+01
2.928645e+02    -1.091374e+01    -1.029936e+01
2.951209e+02    -1.101758e+01    -1.018290e+01
2.973948e+02    -1.112466e+01    -1.005444e+01
2.996861e+02    -1.123504e+01    -9.914484e+00
3.019952e+02    -1.134876e+01    -9.763813e+00
3.043220e+02    -1.146576e+01    -9.603284e+00
3.066667e+02    -1.158582e+01    -9.433713e+00
3.090295e+02    -1.170880e+01    -9.255955e+00
3.114106e+02    -1.183470e+01    -9.071048e+00
3.138099e+02    -1.196353e+01    -8.880185e+00
3.162278e+02    -1.209521e+01    -8.684514e+00
3.186642e+02    -1.222946e+01    -8.484997e+00
3.211195e+02    -1.236604e+01    -8.282503e+00
3.235937e+02    -1.250485e+01    -8.077978e+00
3.260869e+02    -1.264592e+01    -7.872426e+00
3.285993e+02    -1.278912e+01    -7.666724e+00
3.311311e+02    -1.293413e+01    -7.461507e+00
3.336824e+02    -1.308061e+01    -7.257307e+00
3.362534e+02    -1.322846e+01    -7.054726e+00
3.388442e+02    -1.337772e+01    -6.854396e+00
3.414549e+02    -1.352820e+01    -6.656776e+00
