# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -5.525299e+00    -1.167579e+01
1.007705e+02    -5.530963e+00    -1.173858e+01
1.015469e+02    -5.536702e+00    -1.180253e+01
1.023293e+02    -5.542517e+00    -1.186766e+01
1.031177e+02    -5.548407e+00    -1.193400e+01
1.039122e+02    -5.554374e+00    -1.200157e+01
1.047129e+02    -5.560418e+00    -1.207039e+01
1.055196e+02    -5.566540e+00    -1.214049e+01
1.063327e+02    -5.572740e+00    -1.221189e+01
1.071519e+02    -5.579019e+00    -1.228461e+01
1.079775e+02    -5.585378e+00    -1.235867e+01
1.088095e+02    -5.591817e+00    -1.243410e+01
1.096478e+02    -5.598336e+00    -1.251093e+01
1.104926e+02    -5.604936e+00    -1.258917e+01
1.113440e+02    -5.611617e+00    -1.266885e+01
1.122018e+02    -5.618379e+00    -1.274999e+01
1.130663e+02    -5.625224e+00    -1.283261e+01
1.139375e+02    -5.632151e+00    -1.291675e+01
1.148154e+02    -5.639161e+00    -1.300241e+01
1.157000e+02    -5.646254e+00    -1.308963e+01
1.165914e+02    -5.653430e+00    -1.317842e+01
1.174898e+02    -5.660690e+00    -1.326880e+01
1.183950e+02    -5.668034e+00    -1.336079e+01
1.193072e+02    -5.675463e+00    -1.345440e+01
1.202264e+02    -5.682976e+00    -1.354966e+01
1.211528e+02    -5.690573e+00    -1.364658e+01
1.220862e+02    -5.698256e+00    -1.374517e+01
1.230269e+02    -5.706023e+00    -1.384544e+01
1.239748e+02    -5.713874e+00    -1.394740e+01
1.249300e+02    -5.721811e+00    -1.405105e+01
1.258925e+02    -5.729831e+00    -1.415639e+01
1.268625e+02    -5.737936e+00    -1.426342e+01
1.278400e+02    -5.746125e+00    -1.437213e+01
1.288250e+02    -5.754399e+00    -1.448252e+01
1.298175e+02    -5.762756e+00    -1.459455e+01
1.308177e+02    -5.771197e+00    -1.470821e+01
1.318257e+02    -5.779721e+00    -1.482347e+01
1.328414e+02    -5.788329e+00    -1.494029e+01
1.338649e+02    -5.797019e+00    -1.505861e+01
1.348963e+02    -5.805792e+00    -1.517839e+01
1.359356e+02    -5.814645e+00    -1.529955e+01
1.369830e+02    -5.823579e+00    -1.542201e+01
1.380384e+02    -5.832593e+00    -1.554568e+01
1.391020e+02    -5.841687e+00    -1.567045e+01
1.401737e+02    -5.850858e+00    -1.579619e+01
1.412538e+02    -5.860107e+00    -1.592277e+01
1.423421e+02    -5.869433e+00    -1.605002e+01
1.434388e+02    -5.878834e+00    -1.617775e+01
1.445440e+02    -5.888311e+00    -1.630577e+01
1.456577e+02    -5.897861e+00    -1.643384e+01
1.467799e+02    -5.907483e+00    -1.656171e+01
1.479108e+02    -5.917176e+00    -1.668909e+01
1.490505e+02    -5.926939e+00    -1.681567e+01
1.501989e+02    -5.936770e+00    -1.694111e+01
1.513561e+02    -5.946668e+00    -1.706504e+01
1.525223e+02    -5.956630e+00    -1.718704e+01
1.536975e+02    -5.966655e+00    -1.730669e+01
1.548817e+02    -5.976742e+00    -1.742350e+01
