# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.560750e+02    -5.986890e+00    -1.753699e+01
1.572775e+02    -5.997095e+00    -1.764661e+01
1.584893e+02    -6.007358e+00    -1.775181e+01
1.597104e+02    -6.017674e+00    -1.785203e+01
1.609410e+02    -6.028043e+00    -1.794666e+01
1.621810e+02    -6.038461e+00    -1.803510e+01
1.634306e+02    -6.048927e+00    -1.811675e+01
1.646898e+02    -6.059438e+00    -1.819101e+01
1.659587e+02    -6.069993e+00    -1.825730e+01
1.672374e+02    -6.080588e+00    -1.831506e+01
1.685259e+02    -6.091222e+00    -1.836378e+01
1.698244e+02    -6.101892e+00    -1.840299e+01
1.711328e+02    -6.112597e+00    -1.843228e+01
1.724514e+02    -6.123332e+00    -1.845131e+01
1.737801e+02    -6.134096e+00    -1.845983e+01
1.751190e+02    -6.144886e+00    -1.845765e+01
1.764683e+02    -6.155699e+00    -1.844471e+01
1.778279e+02    -6.166533e+00    -1.842101e+01
1.791981e+02    -6.177384e+00    -1.838666e+01
1.805788e+02    -6.188252e+00    -1.834186e+01
1.819701e+02    -6.199133e+00    -1.828691e+01
1.833721e+02    -6.210025e+00    -1.822216e+01
1.847850e+02    -6.220926e+00    -1.814806e+01
1.862087e+02    -6.231832e+00    -1.806511e+01
1.876434e+02    -6.242742e+00    -1.797388e+01
1.890892e+02    -6.253653e+00    -1.787497e+01
1.905461e+02    -6.264563e+00    -1.776901e+01
1.920142e+02    -6.275471e+00    -1.765664e+01
1.934936e+02    -6.286374e+00    -1.753853e+01
1.949845e+02    -6.297271e+00    -1.741534e+01
1.964868e+02    -6.308162e+00    -1.728773e+01
1.980007e+02    -6.319044e+00    -1.715633e+01
1.995262e+02    -6.329916e+00    -1.702177e+01
2.010635e+02    -6.340778e+00    -1.688465e+01
2.026127e+02    -6.351628e+00    -1.674554e+01
2.041738e+02    -6.362468e+00    -1.660499e+01
2.057469e+02    -6.373297e+00    -1.646351e+01
2.073322e+02    -6.384117e+00    -1.632158e+01
2.089296e+02    -6.394928e+00    -1.617966e+01
2.105394e+02    -6.405734e+00    -1.603817e+01
2.121615e+02    -6.416534e+00    -1.589750e+01
2.137962e+02    -6.427332e+00    -1.575803e+01
2.154435e+02    -6.438130e+00    -1.562009e+01
2.171034e+02    -6.448934e+00    -1.548400e+01
2.187762e+02    -6.459747e+00    -1.535006e+01
2.204618e+02    -6.470577e+00    -1.521853e+01
2.221604e+02    -6.481429e+00    -1.508968e+01
2.238721e+02    -6.492310e+00    -1.496375e+01
2.255970e+02    -6.503227e+00    -1.484094e+01
2.273352e+02    -6.514189e+00    -1.472149e+01
2.290868e+02    -6.525207e+00    -1.460557e+01
2.308518e+02    -6.536292e+00    -1.449338e+01
2.326305e+02    -6.547457e+00    -1.438510e+01
2.344229e+02    -6.558715e+00    -1.428088e+01
2.362291e+02    -6.570082e+00    -1.418090e+01
2.380492e+02    -6.581572e+00    -1.408531e+01
2.398833e+02    -6.593204e+00    -1.399427e+01
2.417315e+02    -6.604996e+00    -1.390790e+01
2.435940e+02    -6.616970e+00    -1.382637e+01
2.454709e+02    -6.629150e+00    -1.374980e+01
2.473622e+02    -6.641559e+00    -1.367834e+01
2.492681e+02    -6.654222e+00    -1.361212e+01
2.511886e+02    -6.667168e+00    -1.355127e+01
2.531240e+02    -6.680425e+00    -1.349592e+01
2.550743e+02    -6.694025e+00    -1.344619e+01
2.570396e+02    -6.708004e+00    -1.340221e+01
2.590200e+02    -6.722397e+00    -1.336410e+01
2.610157e+02    -6.737241e+00    -1.333197e+01
2.630268e+02    -6.752577e+00    -1.330593e+01
2.650534e+02    -6.768444e+00    -1.328607e+01
2.670956e+02    -6.784888e+00    -1.327250e+01
2.691535e+02    -6.801957e+00    -1.326527e+01
2.712273e+02    -6.819698e+00    -1.326445e+01
2.733170e+02    -6.838162e+00    -1.327008e+01
2.754229e+02    -6.857401e+00    -1.328218e+01
2.775450e+02    -6.877467e+00    -1.330073e+01
2.796834e+02    -6.898418e+00    -1.332568e+01
2.818383e+02    -6.920312e+00    -1.335693e+01
2.840098e+02    -6.943209e+00    -1.339433e+01
2.861980e+02    -6.967170e+00    -1.343767e+01
2.884032e+02    -6.992254e+00    -1.348666e+01
2.906252e+02    -7.018523e+00    -1.354092e+01
2.928645e+02    -7.046043e+00    -1.359996e+01
2.951209e+02    -7.074877e+00    -1.366319e+01
2.973948e+02    -7.105090e+00    -1.372987e+01
2.996861e+02    -7.136743e+00    -1.379908e+01
3.019952e+02    -7.169899e+00    -1.386976e+01
3.043220e+02    -7.204619e+00    -1.394064e+01
3.066667e+02    -7.240963e+00    -1.401025e+01
3.090295e+02    -7.278992e+00    -1.407689e+01
3.114106e+02    -7.318760e+00    -1.413867e+01
3.138099e+02    -7.360319e+00    -1.419346e+01
3.162278e+02    -7.403716e+00    -1.423899e+01
3.186642e+02    -7.448998e+00    -1.427282e+01
3.211195e+02    -7.496207e+00    -1.429246e+01
3.235937e+02    -7.545379e+00    -1.429540e+01
3.260869e+02    -7.596542e+00    -1.427927e+01
3.285993e+02    -7.649718e+00    -1.424192e+01
3.311311e+02    -7.704928e+00    -1.418152e+01
3.336824e+02    -7.762182e+00    -1.409671e+01
3.362534e+02    -7.821484e+00    -1.398666e+01
3.388442e+02    -7.882827e+00    -1.385113e+01
3.414549e+02    -7.946197e+00    -1.369050e+01
3.440857e+02    -8.011575e+00    -1.350575e+01
3.467369e+02    -8.078931e+00    -1.329836e+01
3.494084e+02    -8.148227e+00    -1.307026e+01
3.521005e+02    -8.219411e+00    -1.282371e+01
3.548134e+02    -8.292426e+00    -1.256114e+01
3.575472e+02    -8.367208e+00    -1.228511e+01
3.603020e+02    -8.443681e+00    -1.199814e+01
3.630781e+02    -8.521760e+00    -1.170270e+01
3.658755e+02    -8.601348e+00    -1.140107e+01
3.686945e+02    -8.682343e+00    -1.109536e+01
3.715352e+02    -8.764638e+00    -1.078747e+01
3.743978e+02    -8.848111e+00    -1.047908e+01
3.772825e+02    -8.932632e+00    -1.017164e+01
3.801894e+02    -9.018065e+00    -9.866404e+00
3.831187e+02    -9.104273e+00    -9.564416e+00
3.860705e+02    -9.191104e+00    -9.266555e+00
3.890451e+02    -9.278401e+00    -8.973535e+00
3.920427e+02    -9.365999e+00    -8.685930e+00
3.950633e+02    -9.453736e+00    -8.404193e+00
3.981072e+02    -9.541439e+00    -8.128673e+00
4.011745e+02    -9.628926e+00    -7.859626e+00
4.042655e+02    -9.716015e+00    -7.597229e+00
4.073803e+02    -9.802521e+00    -7.341599e+00
4.105191e+02    -9.888257e+00    -7.092798e+00
4.136820e+02    -9.973024e+00    -6.850840e+00
4.168694e+02    -1.005663e+01    -6.615702e+00
4.200813e+02    -1.013886e+01    -6.387333e+00
4.233179e+02    -1.021954e+01    -6.165659e+00
4.265795e+02    -1.029844e+01    -5.950582e+00
4.298662e+02    -1.037535e+01    -5.741990e+00
4.331783e+02    -1.045008e+01    -5.539763e+00
4.365158e+02    -1.052241e+01    -5.343770e+00
4.398791e+02    -1.059211e+01    -5.153873e+00
4.432683e+02    -1.065898e+01    -4.969930e+00
4.466836e+02    -1.072280e+01    -4.791801e+00
4.501252e+02    -1.078334e+01    -4.619344e+00
4.535933e+02    -1.084038e+01    -4.452414e+00
4.570882e+02    -1.089368e+01    -4.290874e+00
4.606100e+02    -1.094303e+01    -4.134588e+00
4.641589e+02    -1.098819e+01    -3.983423e+00
4.677351e+02    -1.102891e+01    -3.837251e+00
4.713390e+02    -1.106496e+01    -3.695953e+00
4.749705e+02    -1.109610e+01    -3.559412e+00
4.786301e+02    -1.112207e+01    -3.427518e+00
4.823178e+02    -1.114262e+01    -3.300170e+00
4.860340e+02    -1.115749e+01    -3.177276e+00
4.897788e+02    -1.116642e+01    -3.058748e+00
4.935525e+02    -1.116913e+01    -2.944511e+00
4.973552e+02    -1.116536e+01    -2.834500e+00
5.011872e+02    -1.115480e+01    -2.728656e+00
5.050488e+02    -1.113719e+01    -2.626936e+00
5.089401e+02    -1.111221e+01    -2.529309e+00
5.128614e+02    -1.107956e+01    -2.435756e+00
5.168129e+02    -1.103893e+01    -2.346274e+00
5.207948e+02    -1.099000e+01    -2.260879e+00
5.248075e+02    -1.093243e+01    -2.179604e+00
5.288510e+02    -1.086589e+01    -2.102502e+00
5.329257e+02    -1.079003e+01    -2.029658e+00
5.370318e+02    -1.070450e+01    -1.961179e+00
5.411695e+02    -1.060893e+01    -1.897206e+00
5.453391e+02    -1.050298e+01    -1.837923e+00
5.495409e+02    -1.038626e+01    -1.783555e+00
5.537750e+02    -1.025841e+01    -1.734382e+00
5.580417e+02    -1.011907e+01    -1.690749e+00
5.623413e+02    -9.967882e+00    -1.653074e+00
5.666741e+02    -9.804506e+00    -1.621867e+00
5.710402e+02    -9.628634e+00    -1.597751e+00
5.754399e+02    -9.439984e+00    -1.581475e+00
5.798736e+02    -9.238324e+00    -1.573951e+00
5.843414e+02    -9.023505e+00    -1.576291e+00
5.888437e+02    -8.795456e+00    -1.589837e+00
5.933806e+02    -8.554239e+00    -1.616229e+00
5.979525e+02    -8.300086e+00    -1.657462e+00
6.025596e+02    -8.033425e+00    -1.715966e+00
6.072022e+02    -7.754971e+00    -1.794713e+00
6.118806e+02    -7.465780e+00    -1.897321e+00
6.165950e+02    -7.167323e+00    -2.028202e+00
6.213458e+02    -6.861612e+00    -2.192725e+00
6.261331e+02    -6.551268e+00    -2.397385e+00
6.309573e+02    -6.239643e+00    -2.650006e+00
6.358188e+02    -5.930900e+00    -2.959913e+00
6.407176e+02    -5.630038e+00    -3.338063e+00
6.456542e+02    -5.342892e+00    -3.797088e+00
6.506289e+02    -5.075968e+00    -4.351095e+00
6.556418e+02    -4.836171e+00    -5.015086e+00
6.606934e+02    -4.630372e+00    -5.803578e+00
6.657840e+02    -4.464806e+00    -6.727659e+00
6.709137e+02    -4.344442e+00    -7.788858e+00
6.760830e+02    -4.272350e+00    -8.966536e+00
6.812921e+02    -4.249271e+00    -1.019432e+01
6.860000e+02    -4.268915e+00    -1.122133e+01
6.865413e+02    -4.273482e+00    -1.132711e+01
6.868333e+02    -4.276135e+00    -1.138274e+01
6.876667e+02    -4.284424e+00    -1.153546e+01
6.885000e+02    -4.293756e+00    -1.167848e+01
6.893333e+02    -4.304105e+00    -1.181082e+01
6.901667e+02    -4.315445e+00    -1.193154e+01
6.910000e+02    -4.327750e+00    -1.203979e+01
6.918310e+02    -4.340951e+00    -1.213458e+01
6.918333e+02    -4.340990e+00    -1.213483e+01
6.926667e+02    -4.355137e+00    -1.221603e+01
6.935000e+02    -4.370162e+00    -1.228292e+01
6.943333e+02    -4.386036e+00    -1.233517e+01
6.951667e+02    -4.402728e+00    -1.237264e+01
6.960000e+02    -4.420208e+00    -1.239537e+01
6.968333e+02    -4.438446e+00    -1.240357e+01
6.971614e+02    -4.445826e+00    -1.240289e+01
6.976667e+02    -4.457410e+00    -1.239761e+01
6.985000e+02    -4.477070e+00    -1.237801e+01
6.993333e+02    -4.497394e+00    -1.234543e+01
7.001667e+02    -4.518352e+00    -1.230065e+01
7.010000e+02    -4.539913e+00    -1.224452e+01
7.018333e+02    -4.562045e+00    -1.217795e+01
7.025329e+02    -4.581044e+00    -1.211472e+01
7.026667e+02    -4.584719e+00    -1.210192e+01
7.035000e+02    -4.607904e+00    -1.201738e+01
7.043333e+02    -4.631570e+00    -1.192531e+01
7.051667e+02    -4.655687e+00    -1.182667e+01
7.060000e+02    -4.680225e+00    -1.172237e+01
7.079458e+02    -4.738999e+00    -1.146160e+01
7.134004e+02    -4.912129e+00    -1.066908e+01
7.188970e+02    -5.093340e+00    -9.883839e+00
7.244360e+02    -5.276323e+00    -9.174475e+00
7.300176e+02    -5.455672e+00    -8.564497e+00
7.356423e+02    -5.626970e+00    -8.056684e+00
7.413102e+02    -5.786760e+00    -7.645937e+00
7.470219e+02    -5.932532e+00    -7.325150e+00
7.527776e+02    -6.062685e+00    -7.087774e+00
7.585776e+02    -6.176519e+00    -6.928801e+00
7.644223e+02    -6.274252e+00    -6.845113e+00
7.703120e+02    -6.357064e+00    -6.835481e+00
7.762471e+02    -6.427198e+00    -6.900375e+00
7.822280e+02    -6.488043e+00    -7.041542e+00
7.882549e+02    -6.544285e+00    -7.261157e+00
7.943282e+02    -6.601950e+00    -7.560256e+00
8.004484e+02    -6.668460e+00    -7.935844e+00
8.066157e+02    -6.752444e+00    -8.375981e+00
8.128305e+02    -6.863421e+00    -8.852287e+00
8.170000e+02    -6.957211e+00    -9.164688e+00
8.180833e+02    -6.984508e+00    -9.241717e+00
8.190932e+02    -7.011114e+00    -9.311219e+00
8.191667e+02    -7.013093e+00    -9.316176e+00
8.202500e+02    -7.043007e+00    -9.387592e+00
8.213333e+02    -7.074284e+00    -9.455478e+00
8.224167e+02    -7.106961e+00    -9.519340e+00
8.235000e+02    -7.141069e+00    -9.578683e+00
8.245833e+02    -7.176639e+00    -9.633014e+00
8.254042e+02    -7.204581e+00    -9.670551e+00
8.256667e+02    -7.213698e+00    -9.681855e+00
8.267500e+02    -7.252271e+00    -9.724745e+00
8.278333e+02    -7.292382e+00    -9.761253e+00
8.289167e+02    -7.334049e+00    -9.790982e+00
8.300000e+02    -7.377291e+00    -9.813580e+00
8.310833e+02    -7.422122e+00    -9.828747e+00
8.317638e+02    -7.451098e+00    -9.834363e+00
8.321667e+02    -7.468553e+00    -9.836241e+00
8.332500e+02    -7.516592e+00    -9.835881e+00
8.343333e+02    -7.566245e+00    -9.827556e+00
8.354167e+02    -7.617512e+00    -9.811223e+00
8.365000e+02    -7.670393e+00    -9.786911e+00
8.375833e+02    -7.724884e+00    -9.754717e+00
8.381724e+02    -7.755184e+00    -9.733962e+00
8.386667e+02    -7.780976e+00    -9.714807e+00
8.397500e+02    -7.838661e+00    -9.667410e+00
8.408333e+02    -7.897924e+00    -9.612812e+00
8.419167e+02    -7.958750e+00    -9.551351e+00
8.430000e+02    -8.021121e+00    -9.483410e+00
8.446303e+02    -8.117847e+00    -9.369879e+00
8.511380e+02    -8.536459e+00    -8.811390e+00
8.576959e+02    -9.005116e+00    -8.153841e+00
8.643043e+02    -9.515553e+00    -7.477838e+00
8.709636e+02    -1.005815e+01    -6.834464e+00
8.776742e+02    -1.062302e+01    -6.249025e+00
8.844365e+02    -1.120069e+01    -5.729856e+00
8.912509e+02    -1.178273e+01    -5.275880e+00
8.981179e+02    -1.236188e+01    -4.881517e+00
9.050377e+02    -1.293215e+01    -4.539518e+00
9.120108e+02    -1.348871e+01    -4.242452e+00
9.190377e+02    -1.402774e+01    -3.983386e+00
9.261187e+02    -1.454630e+01    -3.756190e+00
9.332543e+02    -1.504208e+01    -3.555565e+00
9.404449e+02    -1.551337e+01    -3.377020e+00
9.476908e+02    -1.595881e+01    -3.216767e+00
9.549926e+02    -1.637735e+01    -3.071631e+00
9.623506e+02    -1.676819e+01    -2.938960e+00
9.697654e+02    -1.713061e+01    -2.816524e+00
9.772372e+02    -1.746407e+01    -2.702464e+00
9.847667e+02    -1.776799e+01    -2.595217e+00
9.923541e+02    -1.804185e+01    -2.493463e+00
1.000000e+03    -1.828514e+01    -2.396108e+00
