# Frequency (MHz)    Transmission (dB)    Reflection (dB)
1.000000e+02    -2.889044e+00    -1.514816e+01
1.007705e+02    -2.890671e+00    -1.518832e+01
1.015469e+02    -2.892319e+00    -1.522934e+01
1.023293e+02    -2.893988e+00    -1.527126e+01
1.031177e+02    -2.895679e+00    -1.531409e+01
1.039122e+02    -2.897391e+00    -1.535787e+01
1.047129e+02    -2.899125e+00    -1.540260e+01
1.055196e+02    -2.900881e+00    -1.544832e+01
1.063327e+02    -2.902659e+00    -1.549506e+01
1.071519e+02    -2.904459e+00    -1.554283e+01
1.079775e+02    -2.906282e+00    -1.559168e+01
1.088095e+02    -2.908127e+00    -1.564162e+01
1.096478e+02    -2.909995e+00    -1.569268e+01
1.104926e+02    -2.911886e+00    -1.574491e+01
1.113440e+02    -2.913800e+00    -1.579831e+01
1.122018e+02    -2.915738e+00    -1.585294e+01
1.130663e+02    -2.917698e+00    -1.590882e+01
1.139375e+02    -2.919682e+00    -1.596599e+01
1.148154e+02    -2.921689e+00    -1.602448e+01
1.157000e+02    -2.923720e+00    -1.608433e+01
1.165914e+02    -2.925775e+00    -1.614558e+01
1.174898e+02    -2.927853e+00    -1.620826e+01
1.183950e+02    -2.929955e+00    -1.627242e+01
1.193072e+02    -2.932081e+00    -1.633810e+01
1.202264e+02    -2.934232e+00    -1.640534e+01
1.211528e+02    -2.936406e+00    -1.647420e+01
1.220862e+02    -2.938604e+00    -1.654471e+01
1.230269e+02    -2.940827e+00    -1.661692e+01
1.239748e+02    -2.943074e+00    -1.669088e+01
1.249300e+02    -2.945345e+00    -1.676665e+01
1.258925e+02    -2.947640e+00    -1.684428e+01
1.268625e+02    -2.949959e+00    -1.692383e+01
1.278400e+02    -2.952303e+00    -1.700535e+01
1.288250e+02    -2.954670e+00    -1.708890e+01
1.298175e+02    -2.957062e+00    -1.717455e+01
1.308177e+02    -2.959477e+00    -1.726236e+01
1.318257e+02    -2.961917e+00    -1.735239e+01
1.328414e+02    -2.964381e+00    -1.744472e+01
1.338649e+02    -2.966868e+00    -1.753943e+01
1.348963e+02    -2.969378e+00    -1.763657e+01
1.359356e+02    -2.971913e+00    -1.773624e+01
1.369830e+02    -2.974470e+00    -1.783851e+01
1.380384e+02    -2.977051e+00    -1.794347e+01
1.391020e+02    -2.979654e+00    -1.805120e+01
1.401737e+02    -2.982281e+00    -1.816179e+01
1.412538e+02    -2.984929e+00    -1.827534e+01
1.423421e+02    -2.987600e+00    -1.839195e+01
1.434388e+02    -2.990293e+00    -1.851171e+01
1.445440e+02    -2.993008e+00    -1.863473e+01
1.456577e+02    -2.995743e+00    -1.876112e+01
